IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
1,Schleswig-Holstein,SK Kiel,A35-A59,W,2,0,195106,2020-03-19T00:00:00.000Z,01002,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,195107,2020-03-23T00:00:00.000Z,01002,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,195108,2020-03-19T00:00:00.000Z,01002,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,195109,2020-03-20T00:00:00.000Z,01002,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,195110,2020-03-22T00:00:00.000Z,01002,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,1,195111,2020-03-23T00:00:00.000Z,01002,24.03.2020 00:00,1,1
1,Schleswig-Holstein,SK Kiel,A60-A79,W,1,0,195112,2020-03-18T00:00:00.000Z,01002,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Kiel,A60-A79,W,2,0,195113,2020-03-23T00:00:00.000Z,01002,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Kiel,A80+,W,2,0,195114,2020-03-23T00:00:00.000Z,01002,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Lübeck,A00-A04,M,1,0,195115,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,195116,2020-03-11T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,195117,2020-03-18T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,195118,2020-03-19T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,195119,2020-03-20T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,195120,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,195121,2020-03-08T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,195122,2020-03-17T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,195123,2020-03-18T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,195124,2020-03-19T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,195125,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,195126,2020-02-29T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,195127,2020-03-11T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,195128,2020-03-15T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,195129,2020-03-17T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,195130,2020-03-18T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,195131,2020-03-19T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,195132,2020-03-20T00:00:00.000Z,01003,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,M,3,0,195133,2020-03-23T00:00:00.000Z,01003,24.03.2020 00:00,1,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,W,2,0,195134,2020-03-11T00:00:00.000Z,01003,24.03.2020 00:00,0,0
1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,195135,2020-03-12T00:00:00.000Z,01003,24.03.2020 00:00,0,0
